County,% Some College
Alameda,71
Alpine,68.6
Amador,54
Butte,67.8
Calaveras,64.9
Colusa,42.8
Contra Costa,68.4
Del Norte,41.5
El Dorado,69.6
Fresno,51.1
Glenn,47.2
Humboldt,66.2
Imperial,51.2
Inyo,50.6
Kern,44.8
Kings,47.1
Lake,55.2
Lassen,42.6
Los Angeles,58.9
Madera,42.3
Marin,73.7
Mariposa,64.6
Mendocino,53.8
Merced,43.1
Modoc,65.9
Mono,57.1
Monterey,45.7
Napa,57.7
Nevada,71.2
Orange,65.8
Placer,76.5
Plumas,57.9
Riverside,53
Sacramento,65.7
San Benito,53.8
San Bernardino,52.8
San Diego,67.9
San Francisco,84.4
San Joaquin,51
San Luis Obispo,66.8
San Mateo,73.8
Santa Barbara,57.3
Santa Clara,74
Santa Cruz,66.2
Shasta,64.5
Sierra,55.3
Siskiyou,62.2
Solano,62.4
Sonoma,61.6
Stanislaus,48.7
Sutter,53.8
Tehama,50.9
Trinity,63.7
Tulare,44.2
Tuolumne,55.3
Ventura,61.8
Yolo,68.9
Yuba,53.9