County,Household Income
Alameda,72128
Alpine,49392
Amador,52357
Butte,42395
Calaveras,52598
Colusa,48897
Contra Costa,78909
Del Norte,38663
El Dorado,63002
Fresno,43741
Glenn,42129
Humboldt,40882
Imperial,40106
Inyo,45784
Kern,46688
Kings,45794
Lake,36973
Lassen,50487
Los Angeles,54443
Madera,41223
Marin,94347
Mariposa,45251
Mendocino,42001
Merced,41003
Modoc,37055
Mono,55107
Monterey,55411
Napa,68619
Nevada,55246
Orange,73827
Placer,73643
Plumas,47645
Riverside,53909
Sacramento,52980
San Benito,66780
San Bernardino,52112
San Diego,61365
San Francisco,76933
San Joaquin,51219
San Luis Obispo,57743
San Mateo,91061
Santa Barbara,60803
Santa Clara,91843
Santa Cruz,65282
Shasta,41236
Sierra,46449
Siskiyou,37108
Solano,63398
Sonoma,61020
Stanislaus,47808
Sutter,47903
Tehama,43459
Trinity,35708
Tulare,39657
Tuolumne,50774
Ventura,76513
Yolo,55011
Yuba,41824